Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"V-c0","C0",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1","C1",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c10","C10",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c100","C100",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1000","C1000",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1001","C1001",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1002","C1002",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1003","C1003",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1004","C1004",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1005","C1005",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1006","C1006",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1007","C1007",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c101","C101",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1010","C1010",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1011","C1011",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1012","C1012",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1013","C1013",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1014","C1014",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1015","C1015",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1016","C1016",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1017","C1017",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c102","C102",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1020","C1020",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1021","C1021",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1022","C1022",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1023","C1023",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1024","C1024",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1025","C1025",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1026","C1026",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1027","C1027",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c103","C103",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1030","C1030",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1031","C1031",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1032","C1032",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1033","C1033",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1034","C1034",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1035","C1035",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1036","C1036",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1037","C1037",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c104","C104",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1040","C1040",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1041","C1041",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1042","C1042",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1043","C1043",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1044","C1044",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1045","C1045",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1046","C1046",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1047","C1047",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c105","C105",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1050","C1050",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1051","C1051",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1052","C1052",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1053","C1053",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1054","C1054",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1055","C1055",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1056","C1056",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1057","C1057",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c106","C106",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1060","C1060",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1061","C1061",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1062","C1062",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1063","C1063",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1064","C1064",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1065","C1065",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1066","C1066",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1067","C1067",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c107","C107",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1070","C1070",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1071","C1071",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1072","C1072",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1073","C1073",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1074","C1074",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1075","C1075",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1076","C1076",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1077","C1077",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c11","C11",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c110","C110",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1100","C1100",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1101","C1101",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1102","C1102",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1103","C1103",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1104","C1104",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1105","C1105",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1106","C1106",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1107","C1107",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c111","C111",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1110","C1110",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1111","C1111",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1112","C1112",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1113","C1113",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1114","C1114",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1115","C1115",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1116","C1116",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1117","C1117",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c112","C112",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1120","C1120",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1121","C1121",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1122","C1122",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1123","C1123",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1124","C1124",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1125","C1125",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1126","C1126",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1127","C1127",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c113","C113",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1130","C1130",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1131","C1131",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1132","C1132",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1133","C1133",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1134","C1134",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1135","C1135",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1136","C1136",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1137","C1137",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c114","C114",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1140","C1140",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1141","C1141",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1142","C1142",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1143","C1143",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1144","C1144",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1145","C1145",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1146","C1146",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1147","C1147",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c115","C115",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1150","C1150",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1151","C1151",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1152","C1152",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1153","C1153",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1154","C1154",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1155","C1155",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1156","C1156",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1157","C1157",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c116","C116",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1160","C1160",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1161","C1161",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1162","C1162",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1163","C1163",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1164","C1164",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1165","C1165",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1166","C1166",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1167","C1167",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c117","C117",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1170","C1170",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1171","C1171",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1172","C1172",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1173","C1173",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1174","C1174",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1175","C1175",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1176","C1176",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1177","C1177",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c12","C12",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c120","C120",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1200","C1200",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1201","C1201",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1202","C1202",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1203","C1203",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1204","C1204",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1205","C1205",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1206","C1206",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1207","C1207",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c121","C121",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1210","C1210",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1211","C1211",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1212","C1212",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1213","C1213",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1214","C1214",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1215","C1215",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1216","C1216",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1217","C1217",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c122","C122",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1220","C1220",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1221","C1221",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1222","C1222",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1223","C1223",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1224","C1224",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1225","C1225",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1226","C1226",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1227","C1227",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c123","C123",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1230","C1230",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1231","C1231",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1232","C1232",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1233","C1233",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1234","C1234",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1235","C1235",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1236","C1236",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1237","C1237",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c124","C124",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1240","C1240",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1241","C1241",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1242","C1242",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1243","C1243",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1244","C1244",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1245","C1245",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1246","C1246",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1247","C1247",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c125","C125",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1250","C1250",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1251","C1251",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1252","C1252",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1253","C1253",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1254","C1254",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1255","C1255",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1256","C1256",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1257","C1257",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c126","C126",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1260","C1260",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1261","C1261",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1262","C1262",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1263","C1263",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1264","C1264",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1265","C1265",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1266","C1266",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1267","C1267",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c127","C127",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1270","C1270",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1271","C1271",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1272","C1272",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1273","C1273",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1274","C1274",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1275","C1275",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1276","C1276",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1277","C1277",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c13","C13",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c130","C130",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1300","C1300",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1301","C1301",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1302","C1302",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1303","C1303",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1304","C1304",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1305","C1305",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1306","C1306",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1307","C1307",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c131","C131",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1310","C1310",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1311","C1311",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1312","C1312",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1313","C1313",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1314","C1314",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1315","C1315",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1316","C1316",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1317","C1317",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c132","C132",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1320","C1320",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1321","C1321",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1322","C1322",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1323","C1323",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1324","C1324",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1325","C1325",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1326","C1326",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1327","C1327",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c133","C133",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1330","C1330",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1331","C1331",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1332","C1332",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1333","C1333",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1334","C1334",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1335","C1335",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1336","C1336",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1337","C1337",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c134","C134",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1340","C1340",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1341","C1341",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1342","C1342",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1343","C1343",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1344","C1344",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1345","C1345",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1346","C1346",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1347","C1347",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c135","C135",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1350","C1350",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1351","C1351",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1352","C1352",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1353","C1353",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1354","C1354",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1355","C1355",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1356","C1356",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1357","C1357",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c136","C136",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1360","C1360",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1361","C1361",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1362","C1362",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1363","C1363",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1364","C1364",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1365","C1365",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1366","C1366",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1367","C1367",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c137","C137",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1370","C1370",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1371","C1371",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1372","C1372",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1373","C1373",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1374","C1374",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1375","C1375",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1376","C1376",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1377","C1377",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c14","C14",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c140","C140",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c141","C141",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c142","C142",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c143","C143",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c144","C144",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c145","C145",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c146","C146",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c147","C147",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c15","C15",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c150","C150",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c151","C151",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c152","C152",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c153","C153",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c154","C154",Boolean,1,R/W,10,,,,,,,,,,"",
